                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0906,                 2.5568,                 2.0349,                0.67628,                0.63834,                0.62643,                0.39105,                 1.3257,                 1.7798,                 1.3408,              0.0033133,              0.0033133,              0.0033133
                      2,                0.97195,                 1.1166,                 1.1491,                0.59574,                0.71103,                0.64596,                0.46048,                0.91687,                 1.2978,                 1.0652,              0.0066372,              0.0066372,              0.0066372
                      3,                0.84555,                0.98197,                 1.0553,                0.65559,                0.73337,                0.66033,                0.46234,                 1.0734,                 1.2109,                 1.1805,              0.0099517,              0.0099517,              0.0099517
                      4,                0.81211,                0.91618,                 1.0516,                0.66977,                0.73792,                0.72271,                0.53821,                0.91637,                 1.0379,                 1.0837,              0.0099576,              0.0099576,              0.0099576
                      5,                 0.7826,                0.83842,                 1.0366,                0.69212,                0.76087,                0.76704,                0.59096,                0.78689,                  0.927,                 1.0008,              0.0099434,              0.0099434,              0.0099434
                      6,                0.74434,                0.83342,                 1.0198,                0.61095,                0.72585,                0.64733,                0.49297,                0.79075,                  1.011,                 0.9984,              0.0099293,              0.0099293,              0.0099293
                      7,                  0.732,                0.81506,                 1.0171,                0.68319,                0.76872,                0.76368,                0.59079,                0.81295,                0.91355,                 1.0025,              0.0099151,              0.0099151,              0.0099151
                      8,                 0.7297,                0.77147,                  1.016,                0.72344,                0.79771,                0.81213,                0.65452,                0.71507,                0.80529,                0.96545,               0.009901,               0.009901,               0.009901
                      9,                0.72187,                0.76833,                 1.0117,                0.68313,                0.78019,                0.74709,                0.58618,                 0.7521,                0.85641,                0.98957,              0.0098869,              0.0098869,              0.0098869
                     10,                0.69347,                0.72495,                 1.0041,                0.69329,                0.81944,                0.75848,                0.60353,                0.72914,                0.83885,                0.98321,              0.0098727,              0.0098727,              0.0098727
                     11,                0.69392,                0.73267,                 1.0079,                0.71636,                0.83394,                0.79438,                0.64182,                0.71922,                0.79841,                0.97736,              0.0098586,              0.0098586,              0.0098586
                     12,                0.68604,                0.70935,                 1.0025,                0.70192,                0.77926,                 0.7853,                0.63891,                0.70522,                0.84261,                0.97732,              0.0098444,              0.0098444,              0.0098444
                     13,                0.67533,                0.69154,                 1.0015,                0.76431,                0.76329,                0.78132,                0.63584,                0.70613,                0.88319,                0.97538,              0.0098303,              0.0098303,              0.0098303
                     14,                 0.6488,                0.65774,                0.98968,                0.73245,                0.83696,                0.80841,                  0.653,                0.69003,                0.81975,                0.97236,              0.0098161,              0.0098161,              0.0098161
                     15,                0.65929,                 0.6836,                0.98859,                0.73606,                0.80012,                0.80623,                0.65632,                0.69608,                0.76084,                0.97686,               0.009802,               0.009802,               0.009802
                     16,                0.65467,                0.67854,                 0.9865,                0.74212,                0.78894,                0.79894,                0.64368,                0.68058,                0.76479,                0.96006,              0.0097879,              0.0097879,              0.0097879
                     17,                0.64336,                0.66955,                0.98686,                0.77952,                 0.8369,                0.85086,                0.68801,                0.67839,                0.68137,                0.95484,              0.0097737,              0.0097737,              0.0097737
                     18,                0.64625,                0.65114,                0.98443,                0.75121,                0.80797,                0.82866,                 0.6825,                0.66728,                0.73752,                0.95962,              0.0097596,              0.0097596,              0.0097596
                     19,                0.63495,                0.63785,                0.97714,                0.72471,                0.83877,                0.83989,                0.68838,                0.66061,                0.69171,                0.95652,              0.0097454,              0.0097454,              0.0097454
                     20,                0.61783,                0.64153,                0.97939,                 0.7382,                0.78442,                0.79808,                0.64854,                0.66893,                0.81495,                0.96094,              0.0097313,              0.0097313,              0.0097313
                     21,                0.62941,                0.62732,                0.97361,                0.75732,                 0.7965,                0.82164,                0.67398,                0.67859,                0.77969,                0.96088,              0.0097171,              0.0097171,              0.0097171
                     22,                0.62876,                0.63724,                0.97739,                0.76927,                0.81099,                0.85889,                0.71188,                0.64468,                0.67472,                0.94406,               0.009703,               0.009703,               0.009703
                     23,                0.61495,                0.61444,                0.97234,                 0.7263,                0.80676,                0.80747,                0.64935,                 0.7077,                0.74827,                 1.0005,              0.0096889,              0.0096889,              0.0096889
                     24,                0.59853,                0.61046,                0.96838,                0.75305,                0.83031,                0.84919,                0.71095,                0.63408,                0.66593,                0.94139,              0.0096747,              0.0096747,              0.0096747
